condition,substrate,Group,treatment method ,treatment,treat No.,Cultivar,samples,fresh weight (A),dry weight(B),A-B,Vase_life,petals,petal size,L,a,b
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_KW,1,KW,3,3.36,0.63,2.73,7,11,42.36,87.73,-0.53,2.32
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_KW,1,KW,4,3.64,0.47,3.17,7,14,44.06,85.13,-2.29,7.68
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_KW,1,KW,5,4.54,0.43,4.11,7,11,40.88,90.19,-0.7,3.84
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_KW,1,KW,6,2.94,0.85,2.09,10,15,41.22,91.9,-0.79,3.35
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_KW,2,KW,1,2.76,0.85,1.91,10,10,44.63,91.18,-1.2,3.45
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_KW,2,KW,2,4.29,0.56,3.73,12,14,44.61,82.06,-0.9,2.91
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_KW,2,KW,3,4.14,0.57,3.57,8,11,47.78,86.61,-1.64,4.29
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_KW,2,KW,4,3.47,0.77,2.7,7,15,47.77,90.37,-1.57,4.02
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_KW,2,KW,5,3.62,0.52,3.1,8,10,45.01,91.68,-1.16,3.57
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_KW,2,KW,6,3.24,0.8,2.44,10,14,50.66,87.74,-0.89,1.66
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_KW,3,KW,1,3.41,0.81,2.6,8,10,49.11,92.05,-1.81,4.32
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_KW,3,KW,2,3.75,0.61,3.14,12,15,41.36,88.35,-3.1,8.87
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_KW,3,KW,3,3.37,0.4,2.97,8,11,40.21,91.82,-1.22,4.47
