Cultivar,L_1,a_1,b_1,C_1,h_1,L_6,a_6,b_6,C_6,h_6,L_9,a_9,b_9,C_9,h_9,L_11,a_11,b_11,C_11,h_11,L_14,a_14,b_14,C_14,h_14,Vase_life
AG,86.42,-6.11,11.6,13.11076275,-1.085998682,75.15,-2.69,7.98,8.421193502,-1.245666138,78.64,-9.08,18.61,20.70696743,-1.116867634,79.31,-7.69,14.42,16.34235295,-1.080874995,86.78,-6.12,13.33,14.66776397,-1.140388453,14
AG,85.52,-8.33,16.58,18.55492657,-1.105220545,81.17,-5.53,12.51,13.67775566,-1.1545763,72.8,-9.92,19.35,21.74462922,-1.097070902,83.31,-9.63,19.17,21.45287393,-1.105272547,84.78,-7.59,16.63,18.28018052,-1.142629538,14
AG,86.23,-8.26,16.66,18.5952467,-1.110515708,80.31,-5.33,12.08,13.20360936,-1.15526347,83.04,-10.09,19.66,22.09804743,-1.096624921,83.15,-9.71,19.36,21.65857105,-1.105909817,85.25,-7.8,17.12,18.81314434,-1.143289017,14
AG,86.62,-8.25,16.54,18.48334656,-1.108116537,81.91,-5.53,12.25,13.44036458,-1.146755035,83.32,-10.2,19.83,22.2995269,-1.095717206,83.31,-9.9,19.63,21.98515181,-1.103690636,85.76,-7.97,17.54,19.26583764,-1.144297705,14
AG,82.64,-8.77,17.04,19.16440711,-1.095480636,64.33,-3.11,8.57,9.116852527,-1.222681307,82.4,-9.16,18.32,20.48238267,-1.107148718,76.33,-9.43,18.52,20.78257203,-1.0998323,73.35,-6.56,15.28,16.62864998,-1.165272829,14
AG,82.57,-8.69,16.81,18.92332423,-1.09367754,66.03,-3.52,8.95,9.617322912,-1.196082509,82.42,-9.18,18.34,20.50921744,-1.106712608,79.02,-10.21,19.67,22.16197193,-1.092013648,78.34,-7.84,17.59,19.25808142,-1.151517535,14
AG,82.14,-8.53,16.52,18.59223763,-1.094159311,67.16,-4.13,10,10.81928371,-1.17913353,82.92,-9.35,18.74,20.94302032,-1.108002871,79.36,-10.15,19.77,22.22330758,-1.096482992,79.44,-8.02,17.81,19.53244736,-1.147685619,14
AG,81.11,-4.44,8.48,9.572042624,-1.088459305,81.43,-8.22,16.85,18.74809057,-1.11692894,81.37,-11.33,22.75,25.4151805,-1.108732387,85.01,-9.15,18.27,20.43319358,-1.106492119,83.13,-8.54,16.59,18.65903802,-1.095404291,14
AG,79.72,-4.12,7.87,8.883203251,-1.08852046,81.44,-8.22,16.89,18.78404908,-1.117862594,82.41,-11.83,23.29,26.12227019,-1.100814271,83.98,-8.87,17.61,19.71773314,-1.104200212,83.24,-8.48,16.71,18.73858319,-1.101182201,14
AG,80.49,-4.27,8.1,9.156576871,-1.085657157,81.43,-8.38,16.95,18.90838174,-1.111642538,82.21,-11.7,23.21,25.99219306,-1.103879631,83.9,-8.7,17.32,19.38227025,-1.10530285,83.37,-8.47,16.86,18.86797551,-1.105252536,14
