Cultivar,L_1,a_1,b_1,C_1,h_1,L_6,a_6,b_6,C_6,h_6,L_9,a_9,b_9,C_9,h_9,L_11,a_11,b_11,C_11,h_11,L_14,a_14,b_14,C_14,h_14,Vase_life
CP,77.03,17.91,-0.01,17.91000279,-0.000558347,80.05,5.53,3.08,6.329873616,0.508172618,81.14,12.22,1.93,12.37147121,0.156643899,79.13,4.72,9.21,10.34903377,1.097209546,71.6,13.16,13.05,18.53343195,0.781201317,9
CP,84.59,3.84,2.29,4.470984232,0.537734428,79.78,7.73,1.45,7.864820405,0.185426057,74.83,20.1,0.72,20.11289139,0.035805586,83.4,7.11,3.55,7.94698685,0.463084863,79.48,13.33,3.55,13.79461489,0.260275518,11
CP,83.61,3.97,2.31,4.593147069,0.526977442,78.78,8.01,1.22,8.102376195,0.151147969,74.81,20.26,0.73,20.27314726,0.036016008,82.62,7.05,3.52,7.879904822,0.463080072,79.76,13.86,3.82,14.37678685,0.268936279,11
CP,82.47,4.27,2.38,4.888486473,0.508489324,77.66,8.24,1.01,8.301668507,0.121964442,74.92,20.33,0.78,20.34495761,0.038348136,82.83,7.2,3.67,8.081392207,0.471395102,79.83,13.64,3.69,14.13031139,0.264203762,11
CP,81.25,9.36,1.39,9.462647621,0.147426814,81.62,4.57,6.3,7.782987858,0.943228077,82.84,7.29,5.77,9.297150101,0.669533531,75.85,14.26,0.76,14.28023809,0.053245557,77.78,8.11,3.81,8.960368296,0.439189182,10
CP,80.72,9.38,1.29,9.46828918,0.13666932,81.76,4.68,6.69,8.16446569,0.960371386,82.68,7.16,5.72,9.164278477,0.674059279,75.26,13.52,0.94,13.55263812,0.069414922,80.14,6.77,3.94,7.833039002,0.527063605,10
CP,80.43,10.31,1.33,10.39543169,0.128292452,82.09,4.95,6.92,8.508166665,0.949863687,82.79,7.24,5.78,9.264232294,0.673729479,74.96,13.4,0.98,13.43578803,0.073004356,81.02,6.46,4.08,7.640549718,0.563316261,10
CP,79.22,13.51,0.22,13.51179115,0.016282795,74.83,20.1,0.72,20.11289139,0.035805586,73.78,14.75,2.46,14.95373198,0.165258616,79.36,3.76,9.81,10.50588882,1.20478425,78.18,3.83,15.85,16.30617674,1.333700886,8
CP,77.76,12.29,0.35,12.29498272,0.028470743,74.81,20.26,0.73,20.27314726,0.036016008,72.81,14.28,2.15,14.44094526,0.149437799,79.34,3.7,9.87,10.54072578,1.212136694,78.21,3.93,16.03,16.50472054,1.330373106,8
CP,79.11,9.82,1.13,9.884801465,0.114567379,74.92,20.33,0.78,20.34495761,0.038348136,73.31,14.4,2.28,14.5793827,0.157029776,79.35,3.62,9.94,10.57865776,1.221540749,78.28,3.83,15.99,16.44229303,1.335700806,8
CP,79.54,7.39,1.18,7.483615436,0.158338589,76.65,7.85,1.94,8.086167201,0.24227921,81.98,12.16,1.61,12.26612001,0.131635683,76.99,16.03,2.74,16.26248751,0.169293417,81.55,9.98,4.42,10.91498053,0.416922005,8
CP,81.88,6.68,10.21,12.20108602,0.991431835,76.89,8.01,2.15,8.293527597,0.262233458,81.78,12.23,1.64,12.33946919,0.133301278,73.84,15.9,2.05,16.0316094,0.128223447,81.18,10.02,4.42,10.9515661,0.415442953,8
CP,82.35,6.68,1.23,6.792297108,0.182092105,77.17,8.06,2.19,8.352227248,0.265306969,81.94,12.3,1.62,12.40622424,0.130953579,72.53,14.68,1.55,14.76160222,0.105196065,81.2,9.98,4.39,10.9028666,0.414406132,8
CP,76.45,6.36,0.63,6.391126661,0.09873451,77,3.61,0.51,3.645846952,0.140345465,81.25,12.7,1.5,12.78827588,0.117565574,82.34,11.23,2.24,11.45122264,0.196881773,78.86,13.65,4.59,14.40106246,0.324385594,10
CP,77.81,7.81,1.29,7.915819604,0.163694888,76.98,3.43,0.52,3.46919299,0.150457791,81.58,12.86,1.59,12.95792036,0.123014898,82.29,11.17,2.29,11.40232432,0.202211484,79.02,13.85,4.71,14.62896442,0.327803226,10
CP,78,8.09,0.88,8.137720811,0.108350264,77.75,3.39,0.72,3.465616828,0.20927955,81.66,12.89,1.64,12.99391011,0.126550485,82.32,11.19,2.3,11.42392665,0.202717398,79.17,13.82,4.69,14.59412553,0.32716762,10
CP,69.65,14.91,-1.1,14.95052173,-0.073642573,74.83,14.63,-0.49,14.63820344,-0.033480308,80.2,12.28,0.91,12.31367126,0.073969033,79.42,11.28,1.81,11.42429429,0.159104716,82,10.32,3.1,10.77554639,0.29181235,12
CP,69.36,15.05,-0.95,15.07995358,-0.063039286,75.88,15.41,-0.43,15.41599818,-0.02789672,80.32,11.08,0.86,11.11332533,0.077462022,79.64,11.22,1.93,11.3847837,0.170347187,81.97,10.37,3.11,10.82631054,0.291368322,12
CP,68.05,14.74,-0.85,14.7644878,-0.057602421,77.49,15.06,-0.28,15.0626027,-0.018590156,80.46,10.98,0.81,11.00983651,0.073637105,79.75,11.04,1.96,11.21263573,0.17570547,82.23,10.46,3.27,10.95921986,0.302993736,12
CP,76.19,14.47,0.59,14.48202334,0.040751442,78.83,4.76,1.12,4.889989775,0.231090667,79.96,16.3,1.56,16.37448014,0.095414911,75.83,12.78,6.93,14.53799505,0.496876371,72.41,15.44,5.9,16.52887171,0.365002002,9
CP,75.61,13.74,0.75,13.76045421,0.054531037,77.27,4.36,0.9,4.451920934,0.203562883,79.68,16.07,1.49,16.13892809,0.092455016,75.63,12.63,6.83,14.35847485,0.49573382,72.64,15.54,5.92,16.62943174,0.363978957,9
CP,76.9,12.42,1.3,12.4878501,0.104290134,79.25,4.14,1.32,4.345342334,0.308650867,79.73,15.99,1.47,16.05742819,0.091674772,75.6,12.56,6.86,14.31129624,0.499904384,72.68,15.62,5.95,16.71487062,0.363952334,9
CP,78.14,13.19,0.62,13.20456361,0.046970733,82.58,8.76,1.62,8.908535233,0.182865539,78.24,15.18,0.68,15.19522293,0.044765857,79.42,11.96,1.43,12.04518576,0.119000293,82.35,8.8,2.39,9.11877733,0.265194052,12
CP,78.7,11.9,0.8,11.92686044,0.067125888,82.76,8.71,1.66,8.866775062,0.188327018,79.17,15.46,0.86,15.48390132,0.055570154,79.26,11.87,1.4,11.95227593,0.117402014,82.2,9.79,2.35,10.06809813,0.235583613,12
CP,76.58,12.24,0.68,12.25887434,0.055498505,83.51,8.96,1.9,9.159235776,0.208958214,79.39,15.59,0.95,15.61891802,0.060861241,79.41,12.06,1.47,12.14925924,0.121292217,82.19,8.77,2.36,9.081987668,0.262872052,12
CP,71.25,15.49,-0.41,15.49542513,-0.026462511,56.49,6.95,0.68,6.983186952,0.097531295,83.45,9.4,1.46,9.512707291,0.154087946,77.63,8.84,4.97,10.14132634,0.512174603,81.91,7.55,5.32,9.23606518,0.613830443,10
CP,76.39,14.7,0.01,14.7000034,0.000680272,57.61,6.12,-0.19,6.122948636,-0.031035783,84.05,9.71,1.54,9.831363079,0.157289307,77.41,8.8,4.87,10.05767866,0.505456787,81.73,7.63,5.43,9.364923919,0.618511653,10
CP,77.78,14.21,0.11,14.21042575,0.007740873,62.15,5.8,0.49,5.820661474,0.084282621,84.41,9.85,1.54,9.969658971,0.15508965,77.34,8.67,4.89,9.953943942,0.513538696,81.84,7.47,5.33,9.176589781,0.619742772,10
CP,80.75,7.29,0.42,7.302088742,0.057549551,77.08,7.05,1.15,7.143178564,0.161696447,78.45,12.54,1.57,12.63789935,0.124551285,83.21,6.97,4.74,8.429027227,0.5972159,76.19,3.13,15.51,15.8226736,1.371665518,9
CP,81.25,7.79,0.64,7.816245902,0.081972512,76.96,7.04,1.24,7.148370444,0.17434805,78.84,12.46,1.49,12.54877285,0.119017495,82.9,6.85,4.78,8.352897701,0.6092548,75.92,3.04,15.57,15.86400013,1.377974848,9
CP,80.72,7.82,0.8,7.860814207,0.10194713,77.29,7.05,1.27,7.163476809,0.178230327,79.26,12.79,1.63,12.89344795,0.126759992,82.87,6.88,4.79,8.383227302,0.60818517,76.36,2.98,15.84,16.11787827,1.384838574,9
CP,55.02,9.82,-0.56,9.835954453,-0.05696478,57.9,4.84,5.46,7.296382665,0.845519795,81.87,7.83,3.02,8.392216632,0.368114889,82.93,7.33,2.17,7.644462048,0.287823181,85.56,3.37,4.91,5.955249785,0.969287325,11
CP,48.4,9.83,-0.98,9.878729675,-0.099366477,59.73,3.74,8.21,9.021734866,1.143343222,81.96,7.83,3.12,8.428718764,0.379184501,83.08,7.33,2.19,7.650163397,0.290329964,85.38,3.23,4.96,5.918994847,0.993571188,11
CP,43.78,10.14,-1.81,10.3002767,-0.17664059,60.8,2.32,12.74,12.94951737,1.390666546,81.03,7.58,2.91,8.119390371,0.366554858,83.41,7.6,2.32,7.946219227,0.296278358,85.48,3.21,4.98,5.924905063,0.998241932,11
CP,75.23,12.95,0.2,12.95154431,0.015442788,74.51,7.73,0.25,7.734041634,0.032330257,73.78,14.75,2.46,14.95373198,0.165258616,80.16,11.58,5.11,12.65734964,0.415577135,76.15,8.82,10.04,13.36390661,0.849995332,8
CP,65.13,9.39,-0.31,9.395115752,-0.033001858,76.79,7.83,0.44,7.842352963,0.056135087,72.81,14.28,2.15,14.44094526,0.149437799,80.21,11.49,5.17,12.59956348,0.422817738,76.46,8.66,10.12,13.31953453,0.862984387,8
CP,69.91,5.88,-0.2,5.883400377,-0.034000497,77.87,7.85,0.58,7.871397589,0.073751341,73.31,14.4,2.28,14.5793827,0.157029776,80.31,11.58,5.2,12.69395132,0.422063696,76.48,8.73,10.1,13.35001498,0.858026432,8
CP,80.64,9.95,0.68,9.973209112,0.068235607,84.56,6.92,1.81,7.152796656,0.255829373,78.07,8.61,1.38,8.719891054,0.158927038,73.34,17.06,5.16,17.82327692,0.293713884,76.17,8.92,9.14,12.77129594,0.797579178,8
CP,80.8,10.28,0.87,10.31674852,0.084429165,83.77,6.68,1.7,6.892923908,0.249201017,77.69,8.57,1.27,8.66359048,0.147120644,73.34,17.02,5.2,17.79664013,0.296515955,77.64,8.67,9.42,12.80255053,0.826833803,8
CP,80.77,10.62,1.08,10.674774,0.101346503,84.29,6.85,1.92,7.113993253,0.273279427,78.1,8.65,1.39,8.760970266,0.159331517,83.48,17.14,5.12,17.88837611,0.290278813,78.41,8.65,9.41,12.78165091,0.827455298,8
CP,79.76,8.3,1.76,8.484550666,0.208953066,84.35,6.2,1.52,6.383603998,0.240419424,82.22,13.11,1.39,13.18348209,0.105631296,80.41,10.52,4.27,11.35355891,0.385576664,81.77,7.5,5.92,9.554914966,0.668202951,10
CP,79.2,8.65,1.74,8.823270369,0.198506917,78.94,5.76,0.57,5.788134414,0.098637193,82.27,13.15,1.42,13.22644699,0.107567977,81.5,9.96,4.34,10.86449263,0.410934739,81.95,7.41,6,9.534573929,0.68063768,10
CP,78.79,8.73,1.54,8.864789902,0.174606852,75.21,5.41,-0.04,5.410147872,-0.007393581,82.33,13.3,1.44,13.37772776,0.107850559,81.74,9.88,4.4,10.8154704,0.418975362,81.99,7.3,6.12,9.525985513,0.697695257,10
CP,76,10.76,0.18,10.76150547,0.016727064,71.97,5.89,1.09,5.990008347,0.182989222,82.79,9.87,4.01,10.65349708,0.385909846,72.26,3.84,9.55,10.29310935,1.188485874,75.93,2.79,12.21,12.52470359,1.346151874,8
CP,76.27,11.07,0.1,11.07045166,0.009033178,72.33,5.83,1.04,5.922035123,0.176530751,82.88,9.85,4.06,10.65392416,0.390964424,74.89,3.56,10.14,10.74677626,1.233155409,75.49,2.8,11.81,12.1373844,1.338007308,8
CP,77.6,11.6,-0.14,11.6008448,-0.01206838,73.53,5.78,1.32,5.928811011,0.224523251,82.92,9.93,4.03,10.71661327,0.38553146,76.22,3.49,10.46,11.02686265,1.248758993,76.16,2.75,12.25,12.55487953,1.349967557,8
CP,84.03,4.7,1.87,5.058349533,0.378670843,81.57,5.31,1.9,5.639689708,0.343620314,86.99,6.28,4.88,7.953162893,0.660602057,74.19,3.67,6.46,7.429703897,1.054154381,74.79,5.59,13.03,14.17846959,1.165534102,8
CP,80.21,4.28,0.9,4.373602634,0.207260711,81.06,5.4,1.9,5.724508713,0.338323623,86.49,6.27,4.81,7.902467969,0.654384,77.9,5.82,7.79,9.72401666,0.929146306,74.11,5.49,13,14.11170082,1.171208296,8
CP,77.15,4.58,0.48,4.605084147,0.10442229,82.46,5.71,2.1,6.083921433,0.35242216,86.83,6.26,4.79,7.882366396,0.653143033,77.75,5.76,7.74,9.648067164,0.931026544,74.45,5.86,13.51,14.726157,1.16153542,8
CP,77.93,6.25,0.79,6.299730153,0.125733218,80.53,6.2,0.84,6.256644468,0.134663908,73.11,5.34,8.34,9.903090427,1.001279012,82.91,7.22,2,7.491888947,0.270232361,77.57,4.09,4.31,5.941733754,0.811582654,11
CP,77.77,6.48,0.83,6.532939614,0.127392768,80.39,6.11,0.83,6.166117093,0.135016429,74.23,5.18,8.58,10.02241488,1.027638983,82.98,7.27,2.03,7.548099098,0.272294272,77.84,4.89,4.44,6.604975397,0.737204,11
CP,82.93,5.52,2.24,5.957180541,0.385493867,80.33,6.12,0.84,6.177378085,0.136402604,77.27,5.82,8.39,10.21099897,0.964322583,83.17,7.37,2.05,7.649797383,0.271296721,80.47,4.13,4.93,6.431314018,0.873469962,11
CP,73.21,16.03,0.12,16.03044915,0.007485824,79.24,16.29,-0.14,16.29060158,-0.008594018,71.72,2.17,5.34,5.764069743,1.1848132,82.07,6.72,3.3,7.486547936,0.456479273,71.49,16.06,0.63,16.07235204,0.039207792,10
CP,74.38,17.16,0.58,17.16979907,0.033786672,79.34,16.51,-0.03,16.51002726,-0.001817079,75.86,1.45,5.43,5.620266898,1.309850096,81.54,6.7,3.23,7.437936542,0.449216861,71.7,16.03,0.71,16.04571594,0.044263023,10
CP,74.8,17.3,0.78,17.31757489,0.045056191,79.45,16.64,0,16.64,0,77.42,0.96,5.85,5.928245946,1.408143484,82.56,6.87,3.53,7.723846192,0.474648902,71.9,16.16,0.81,16.18028739,0.050081849,10
CP,68.84,7.79,-0.21,7.792830038,-0.026951111,76.71,13.45,0.84,13.47620496,0.062372522,57.75,3.08,3.16,4.412708919,0.798217974,75.75,6.8,3.96,7.869027894,0.527342652,71.16,8.71,17.56,19.60147188,1.110342866,9
CP,73.63,8.1,-0.1,8.10061726,-0.012345052,77.73,13.63,1,13.66663455,0.073236354,57.92,3.07,3.13,4.384267328,0.795075281,76.29,6.86,4.11,7.99698068,0.539776138,71.56,8.78,17.49,19.57009198,1.105549085,9
CP,78.26,9.05,-0.05,9.05013812,-0.005524806,78.77,13.79,1.22,13.84386146,0.088240168,59.18,2.88,3.31,4.387539174,0.854753627,76.22,6.72,4.04,7.840918314,0.541294391,71.68,8.76,17.57,19.63268958,1.108287669,9
CP,77.86,7.31,2.61,7.761971399,0.342937278,80.58,3.23,1.88,3.737285111,0.527111429,81.83,2.43,3.81,4.518960057,1.00304878,85.47,6.79,4.34,8.058517233,0.568727882,85.98,2.72,4.22,5.02063741,0.998262103,13
CP,76.81,6.6,2.9,7.209022125,0.413999003,81.83,3.18,2.08,3.799842102,0.579243703,79.34,2.43,3.32,4.11428001,0.938962166,85.16,6.47,4.16,7.691976339,0.571415593,85.91,2.74,4.2,5.014738278,0.992749147,13
CP,77.73,4.79,2.85,5.573742011,0.536727209,81.59,3.03,1.91,3.581759344,0.562446588,81.28,2.55,3.81,4.584604672,0.980978843,84.74,6.19,3.88,7.305511618,0.559905176,86.77,2.8,4.51,5.308493195,1.01519221,13
CP,72.29,10.66,0.84,10.69304447,0.078636758,77.05,15.3,0.15,15.30073528,0.009803607,67.06,3.74,6.56,7.551238309,1.052635758,76.07,10.36,3.75,11.01780831,0.34729768,74.42,12.8,3.8,13.35215338,0.288587362,9
CP,68.64,14.32,-0.41,14.32586821,-0.028623465,77.09,15.48,0.15,15.48072673,0.009689619,60.68,4.17,4.87,6.411380507,0.862677583,75.67,11.08,3.76,11.70059828,0.327155907,75.15,12.59,3.91,13.18317868,0.301120084,9
CP,64.72,13.55,-1,13.58685026,-0.073667188,77.15,15.49,0.18,15.4910458,0.011619877,60.9,4.12,4.81,6.333285088,0.862512579,75.56,11.23,3.78,11.84910545,0.324686228,76.51,11.91,4.25,12.6455763,0.342757969,9
CP,78.71,6.41,1.29,6.538516651,0.198595319,76.69,3.88,2.41,4.567548577,0.555814454,83.14,8.77,3.39,9.402393312,0.368853734,73.26,6.89,2.42,7.30263651,0.337773436,76.73,10.85,6.37,12.58170895,0.530877805,10
CP,80.51,6.04,1.35,6.189030619,0.219895724,72.42,4.43,2.03,4.872966242,0.429684549,83.42,8.81,3.48,9.472407297,0.376193524,79.94,6.77,3.11,7.450167783,0.430626583,76.16,9.9,6.54,11.86514222,0.583795055,10
CP,76.82,7.13,1.15,7.222146495,0.159913123,74.57,4.12,2.18,4.661201562,0.486676167,83.8,8.94,3.64,9.652626586,0.386662513,80.54,6.76,3.23,7.492029098,0.445739076,76.85,9.79,6.9,11.97723257,0.613940728,10
CP,77.86,4.92,0.25,4.926347531,0.050769343,77.22,10.68,1.04,10.73051723,0.097072219,82.81,12.37,1.29,12.43708165,0.103908966,76.37,12.61,3.94,13.21119601,0.302839713,65.56,2.93,13.27,13.58962104,1.353484232,10
CP,71.41,5.22,-0.37,5.233096598,-0.070762877,77.13,10.7,1.06,10.75237648,0.098743241,82.5,12.18,1.28,12.24707312,0.104705984,76.92,13.04,4.12,13.67537934,0.306025671,67.41,1.06,11.21,11.26000444,1.476518219,10
CP,74.6,8.2,-0.33,8.206637557,-0.040222198,78.11,10.95,1.33,11.03047596,0.120869121,82.65,12.37,1.28,12.43604841,0.103109189,77.02,13.14,4.19,13.79187079,0.308680902,70.87,1.45,10.92,11.01584768,1.438784686,10
CP,74.63,2.56,8.75,9.116803168,1.286168592,80.92,1.76,3.07,3.538714456,1.050248181,86.39,2.88,7.82,8.333474665,1.217924465,80.39,4.92,2.12,5.357312759,0.406852568,83.36,1.04,5.41,5.509056181,1.380876598,12
CP,73.91,1.61,7.58,7.749096722,1.361505605,80.67,1.83,2.9,3.429125253,1.007869372,85.94,2.81,6.88,7.431722546,1.1830437,78.22,3.23,1.78,3.687994035,0.503674762,83.5,0.86,5.48,5.547071299,1.415131657,12
CP,70.24,2.28,6.61,6.992174197,1.238643615,83.35,1.7,3.19,3.614706074,1.081164468,86.73,2.82,6.95,7.50032666,1.185338269,80.01,2.69,2.41,3.611675511,0.730551265,84.62,0.9,5.79,5.859530698,1.416589974,12
CP,74.78,7.33,3.58,8.157530264,0.454327703,83.85,9.36,0.83,9.396728154,0.088443878,84.03,8.45,2.47,8.803601536,0.284384777,83.89,9.29,2.53,9.628343575,0.265887684,79.34,5.12,3.56,6.236024375,0.607573058,12
CP,76.31,7.34,3.73,8.233377193,0.470165713,83.46,9.1,0.74,9.130038335,0.081140143,83.22,8.25,2.23,8.546075123,0.263994253,83.82,9.36,2.5,9.688116432,0.261001328,81.06,5.01,3.8,6.28809192,0.648908181,12
CP,76.18,7.12,3.7,8.023989033,0.479253923,83.57,9.11,0.7,9.136853944,0.076687949,83.84,8.79,2.45,9.125053425,0.27182677,83.93,9.34,2.6,9.6951328,0.27149897,81.99,5.01,3.94,6.373672411,0.666409844,12
CP,63.45,6.81,2.34,7.200812454,0.330972954,85.25,5.26,3.75,6.4598839,0.61934972,82,4.78,3.96,6.207253821,0.691850495,71.25,0.65,4.39,4.437859845,1.423800527,76.99,5.13,6.69,8.430480413,0.916619467,10
CP,64.67,14.08,-2.43,14.28815243,-0.170901692,85.33,5.29,3.83,6.530926427,0.626657373,81.81,4.85,4.11,6.357247832,0.702995893,79.39,0.75,3.74,3.814459333,1.372886628,78.63,5.23,7.25,8.939541375,0.945865471,10
CP,77.66,5.17,5.78,7.754824305,0.841048406,85.43,5.33,3.88,6.592670172,0.629242366,82.04,4.78,4.22,6.376268501,0.723256055,80.09,0.73,3.83,3.898948576,1.382454845,79.69,5.12,7.7,9.246858926,0.983993483,10
CP,77.18,16.66,-0.33,16.66326799,-0.019805333,85.15,5.03,2.72,5.718330176,0.495717987,85.21,5.81,2.54,6.340954187,0.412139537,84.56,4.37,2.96,5.278115194,0.595359276,78.08,11.66,1.99,11.8285967,0.169040249,10
CP,77.49,16.81,-0.25,16.81185891,-0.014871004,84.56,4.81,2.6,5.46773262,0.495551673,85.06,5.78,2.52,6.305457953,0.411139102,83.16,4.23,2.82,5.083827298,0.588002604,78.16,11.72,2.06,11.89966386,0.173990669,10
CP,77.47,16.76,-0.22,16.76144385,-0.013125738,84.55,4.73,2.62,5.40715267,0.505841095,85.59,6.06,2.73,6.646540453,0.423265533,82.7,4.28,2.79,5.109060579,0.577688094,78.27,11.76,2.08,11.94252905,0.175060247,10
BP,64.49,17.06,-16.87,23.99250925,-0.779798458,51.77,25.7,-22.63,34.24334826,-0.721961771,73.06,5.88,-4.6,7.465547535,-0.66386271,59.56,18.37,-17.77,25.55836067,-0.768797586,68.21,6.78,-3.96,7.851751397,-0.528624503,14
BP,61.38,19.25,-18.75,26.87238359,-0.772241028,47.53,29.1,-25.79,38.8835968,-0.725168676,72.14,5.76,-4.56,7.346509375,-0.669638946,59.3,18.43,-17.82,25.63624973,-0.768572165,69.91,9.77,-7.04,12.04219664,-0.624400442,14
BP,57.72,21.68,-20.66,29.94758755,-0.761312128,46.89,29.26,-26.08,39.19584162,-0.72799833,71.71,5.74,-4.55,7.324622857,-0.67026336,59.25,18.48,-17.85,25.69305159,-0.768058861,70.6,9.7,-6.83,11.8633427,-0.613488198,14
BP,56.51,19.85,-18.26,26.97128288,-0.743701013,73.88,9.78,-9.7,13.77455625,-0.78129141,74.59,5.59,-4.49,7.169951185,-0.676701297,82.69,4.33,-2.51,5.004897601,-0.525341822,83.11,1.45,11.5,11.59105258,1.445371242,11
BP,56.67,19.91,-18.1,26.90758443,-0.73781506,75.27,7.82,-7.87,11.09456173,-0.788584896,73.96,6.17,-5.1,8.004929731,-0.690739577,82.96,4.23,-2.43,4.878298884,-0.52143444,79.54,2.88,7.9,8.408590845,1.22121248,11
BP,57.06,17.27,-15.61,23.27928263,-0.734954375,76.53,6.32,-6.21,8.860389382,-0.776619458,73.46,6.99,-6.18,9.330192924,-0.72397212,83.26,4.31,-2.39,4.928305997,-0.506310172,79.52,2.83,7.89,8.382183486,1.226408131,11
BP,48.7,25.31,-22.78,34.05179144,-0.73283693,36.58,28.56,-25.29,38.14784004,-0.724748404,43.38,19.3,-10.79,22.11140204,-0.50977805,73.49,6.79,-2.89,7.379444424,-0.402400688,64.56,5.38,18.91,19.6604298,1.293614532,9
BP,49.13,25.15,-22.67,33.85928824,-0.733583437,36.4,27.98,-24.6,37.25641421,-0.721203493,42.98,19.48,-10.98,22.36136847,-0.513266439,72.93,6.97,-3.01,7.592167016,-0.407658988,64.93,5.24,19.11,19.81539048,1.303172172,9
BP,49.07,25.12,-22.61,33.79684157,-0.732859088,36.25,28.78,-25.18,38.24030335,-0.718780799,43.23,20.41,-12.42,23.89193379,-0.546664484,73.35,6.92,-3.01,7.546290479,-0.410285853,65.39,5.04,19.04,19.69576604,1.312025435,9
BP,39.67,27.23,-22.92,35.59212413,-0.699666648,51.94,22.39,-20.36,30.2628766,-0.737948426,39.25,32.26,-26.74,41.90149401,-0.692110402,55.43,20.27,-17.58,26.83149828,-0.714447446,46.71,24.21,-21.4,32.31229023,-0.72386664,14
BP,41.12,27.67,-23.39,36.23149183,-0.701770708,49.8,23.85,-21.69,32.23784422,-0.738002854,39.07,31.85,-26.36,41.34334408,-0.691362631,55.49,20.28,-17.38,26.70847805,-0.708545051,46.49,24.32,-21.39,32.38818457,-0.721385979,14
BP,41.52,27.73,-23.47,36.3289664,-0.702386243,48.51,25.55,-22.89,34.30385693,-0.730539965,38.95,32.24,-26.7,41.86057334,-0.691679621,55.46,20.24,-17.37,26.67160475,-0.709236276,46.68,24.19,-21.43,32.31719357,-0.724972035,14
BP,72.93,1.84,-1.01,2.098975941,-0.502008312,55.28,23.47,-24.2,33.71173238,-0.800710581,85.21,4.55,-3.91,5.999216616,-0.709891865,53.99,21.82,-20.28,29.78910539,-0.748834893,50.31,20.85,-19.39,28.4726992,-0.749131765,13
BP,76.45,0.99,0.42,1.0754069,0.401228799,53.88,24.16,-24.52,34.42289935,-0.792793263,82.49,3.24,-2.37,4.014286985,-0.631543532,53.27,21.22,-19.69,28.94796193,-0.748016417,49.88,20.91,-19.52,28.60521806,-0.751031289,13
BP,78.21,0.92,0.38,0.995389371,0.391699939,53.51,24.2,-24.67,34.55790648,-0.795015219,81.75,3.2,-1.85,3.696281916,-0.524179629,53.3,21.25,-19.55,28.87498918,-0.743755584,50,20.74,-19.49,28.46063422,-0.754336817,13
BP,47.47,24.52,-20.26,31.80720044,-0.690551842,59.98,3.83,-2.37,4.503976021,-0.554127705,44.28,27.61,-23.98,36.56983046,-0.715151465,66.02,12.59,-12.19,17.52438872,-0.769257515,78.66,6.17,-3.94,7.320689858,-0.56830072,14
BP,46.74,25.85,-20.94,33.26719255,-0.680843866,59.33,3.89,-2.42,4.58132077,-0.556516949,44.5,27.08,-23.65,35.95342682,-0.71788806,66.1,12.49,-12.08,17.37603234,-0.768712695,78.69,6.19,-3.92,7.326834241,-0.564530959,14
BP,46.62,26.37,-21.27,33.87904662,-0.678751431,60.87,3.98,-2.69,4.803800579,-0.594353557,44.86,27.12,-23.75,36.04936754,-0.719247525,66.36,12.35,-11.93,17.1711211,-0.768101701,78.67,6.22,-3.87,7.32566038,-0.556573562,14
BP,60.45,18.28,-16.47,24.60526976,-0.733358859,45.91,4.91,3.87,6.251799741,0.667496502,42.63,30.58,-26.93,40.74753121,-0.722015952,52.59,20.83,-16.33,26.46805244,-0.66488701,89.26,-0.36,7.68,7.68843287,-1.523955614,12
BP,59.07,18.83,-16.99,25.3619597,-0.734075322,48.26,4.66,5.61,7.292989785,0.877638105,42.33,30.61,-26.97,40.79648269,-0.722265778,52.46,20.59,-16.21,26.20519414,-0.666933723,85.12,0.5,5.8,5.821511831,1.484802036,12
BP,59.31,19.01,-17.15,25.602785,-0.734005405,48.74,4.3,5.51,6.989284656,0.908121838,42.4,30.53,-26.74,40.58458451,-0.719316764,51.96,20.77,-16.32,26.41467963,-0.6659905,86.58,0.48,6.06,6.078980178,1.491753433,12
BP,53.92,23.4,-20.61,31.18224014,-0.722088202,79.52,2.26,-1.63,2.786485241,-0.624838523,69.66,12.33,-10.84,16.4175059,-0.721179296,57.75,20.66,-20.49,29.09769235,-0.78126696,47.29,22.1,-19.87,29.71913357,-0.732314889,13
BP,52.51,25.26,-21.99,33.49071065,-0.716301986,78.55,3.4,-2.75,4.372928081,-0.680098034,55.39,19.99,-17.91,26.83967585,-0.730571897,54.01,22.61,-22.35,31.79205247,-0.77961531,48.1,21.19,-19.38,28.71585799,-0.740813482,13
BP,51.86,25.99,-22.61,34.44839909,-0.715962644,76.69,7.08,-7.49,10.30662408,-0.813530753,65.35,8.98,-7.85,11.92740123,-0.718356776,56.31,20.21,-19.99,28.42611827,-0.779925581,49.27,20.58,-18.88,27.92831538,-0.742343186,13
BP,48.71,23.54,-21.38,31.79993711,-0.737349688,48.52,21.95,-20.37,29.94560736,-0.748080902,49.08,23.37,-20.22,30.90316003,-0.713259281,89.36,0.82,3.03,3.138996655,1.306500129,56.01,19.23,-17.44,25.96047958,-0.736623135,15
BP,48.9,24.27,-21.72,32.56979122,-0.730008044,49.54,21.44,-19.93,29.27248708,-0.74891448,45.52,24.48,-21.41,32.52166201,-0.718598592,88.03,0.44,1.95,1.999024762,1.348871831,54.06,20.28,-18.3,27.31608317,-0.734121223,15
BP,49.28,23.96,-21.53,32.21214833,-0.732030553,49.8,21.46,-20,29.3348189,-0.750198044,46.64,23.66,-20.5,31.30568,-0.713961957,88.61,0.27,2.32,2.335658365,1.454938207,53.9,20.23,-18.35,27.31255023,-0.736706768,15
