Group,Concentration,Cultivation_method,Cultivar,Stem_volume,Stem_nodes,Length,Bush,Flowering_day,SPAD,Total nitrogen,PO,KO,CaO,MgO,Fresh_weight,Dry_weight,Weight_diff,Vase_life,Petals,Petal_size,L_first,a_first,b_first,L_second,a_second,b_second,L_third,a_third,b_third,L_fourth,a_fourth,b_fourth,L_fifth,a_fifth,b_fifth
SSV,0.3,Soil_culture,KW,3.78,6,68.5,3,61,134.8,0.96,0.37,1.94,0.24,0.35,3.37,0.4,2.97,8,11,40.21,91.74,-1.28,4.47,92.3,-0.06,4.05,87.5,-0.82,3.79,78.26,-0.27,1.35,86.76,-0.04,3.6
SSV,0.3,Soil_culture,KW,4.48,7,62.5,3,65,98.1,0.93,0.35,1.92,0.24,0.35,3.14,0.44,2.7,7,10,40.33,92.53,-3.27,8.3,91.56,-1.52,6.78,88.73,-1.88,6.69,91.4,-1.09,4.53,82.74,-2.22,9.09
SSV,0.3,Soil_culture,KW,4.69,6,68,4,68,103.9,0.94,0.35,1.92,0.24,0.35,3.01,0.81,2.2,10,15,36.44,89.69,-3.35,8,87.02,-1.56,6.53,88.24,-2.69,7.77,85.46,-2.02,5.68,86.37,-1.62,6.71
SSV,0.3,Soil_culture,KW,3.48,6,63,3,68,97.9,0.93,0.35,1.92,0.24,0.35,3.43,1,2.43,8,11,38.49,88.41,-1.44,5.14,91.75,0.01,2.9,86.08,-0.45,3.25,92.49,-0.7,3.23,86.48,-0.88,5.09
SSV,0.5,Soil_culture,KW,4.49,7,62,3,65,110.8,0.67,2.07,2.8,0.24,0.62,3.51,0.56,2.95,7,11,47.01,82.64,-1.97,6.17,87.98,0.12,2.52,87.45,-0.74,4.36,86.23,-1.65,5.91,88.87,-0.99,7.39
SSV,0.5,Soil_culture,KW,4.09,6,71,3,65,116.5,0.68,2.05,2.83,0.3,0.75,3.68,0.96,2.72,8,12,35.99,93.83,-0.46,6.09,91.06,0.11,2.97,81.27,-0.31,2.82,85.79,-0.76,3.89,84.67,-0.61,6.3
SSV,0.5,Soil_culture,KW,5,6,45,4,59,111.5,0.66,2.06,2.79,0.24,0.62,3.77,0.71,3.06,8,10,40.39,78.73,-0.45,2.47,86.29,0.36,2.1,86.83,-1.17,5.76,90.53,-0.35,3.25,87.02,0.06,3.5
SSV,0.5,Soil_culture,KW,4.47,7,61,3,65,96.8,0.66,2.06,2.79,0.24,0.62,3.23,0.77,2.46,7,10,41.62,83.31,-1.43,4.51,87.72,-0.23,3.66,84.3,-0.48,2.27,88.83,-0.26,2.39,85.36,-0.3,8.53
SSV,0.5,Soil_culture,KW,3.91,6,45,4,64,109.4,0.66,2.06,2.77,0.24,0.62,4.11,0.68,3.43,10,15,44.55,88.18,-1.57,5.29,91.9,-0.04,3.99,88.49,-0.68,4.12,91.84,-0.73,5.06,83.45,-0.12,3.31
SSV,0.5,Soil_culture,KW,4.65,7,62,3,65,83.2,0.66,2.06,2.79,0.24,0.62,3.88,0.74,3.14,7,10,40.45,83.24,-0.63,3.28,92.9,-0.12,4.07,91.79,-1.37,5.38,86.93,-0.78,4.08,86.29,0.1,4.01
