id,group,cult,day,concentration,no,samp,VL,a,b,L
NSA_0.1_AG_4_3,HSR,AG,14,0.1,3,4,14,-6.12,13.33,86.78
NSA_0.1_AG_5_1,HSR,AG,1,0.1,1,5,14,-8.33,16.58,85.52
NSA_0.1_AG_5_1,HSR,AG,6,0.1,1,5,14,-5.53,12.51,81.17
NSA_0.1_AG_5_1,HSR,AG,9,0.1,1,5,14,-9.92,19.35,72.8
NSA_0.1_AG_5_1,HSR,AG,11,0.1,1,5,14,-9.63,19.17,83.31
NSA_0.1_AG_5_1,HSR,AG,14,0.1,1,5,14,-7.59,16.63,84.78
NSA_0.1_AG_5_2,HSR,AG,1,0.1,2,5,14,-8.26,16.66,86.23
NSA_0.1_AG_5_2,HSR,AG,6,0.1,2,5,14,-5.33,12.08,80.31
NSA_0.1_AG_5_2,HSR,AG,9,0.1,2,5,14,-10.09,19.66,83.04
NSA_0.1_AG_5_2,HSR,AG,11,0.1,2,5,14,-9.71,19.36,83.15
NSA_0.1_AG_5_2,HSR,AG,14,0.1,2,5,14,-7.8,17.12,85.25
NSA_0.1_AG_5_3,HSR,AG,1,0.1,3,5,14,-8.25,16.54,86.62
NSA_0.1_AG_5_3,HSR,AG,6,0.1,3,5,14,-5.53,12.25,81.91
NSA_0.1_AG_5_3,HSR,AG,9,0.1,3,5,14,-10.2,19.83,83.32
NSA_0.1_AG_5_3,HSR,AG,11,0.1,3,5,14,-9.9,19.63,83.31
NSA_0.1_AG_5_3,HSR,AG,14,0.1,3,5,14,-7.97,17.54,85.76
NSA_0.1_AG_6_1,HSR,AG,1,0.1,1,6,14,-8.77,17.04,82.64
NSA_0.1_AG_6_1,HSR,AG,6,0.1,1,6,14,-3.11,8.57,64.33
NSA_0.1_AG_6_1,HSR,AG,9,0.1,1,6,14,-9.16,18.32,82.4
NSA_0.1_AG_6_1,HSR,AG,11,0.1,1,6,14,-9.43,18.52,76.33
NSA_0.1_AG_6_1,HSR,AG,14,0.1,1,6,14,-6.56,15.28,73.35
NSA_0.1_AG_6_2,HSR,AG,1,0.1,2,6,14,-8.69,16.81,82.57
NSA_0.1_AG_6_2,HSR,AG,6,0.1,2,6,14,-3.52,8.95,66.03
NSA_0.1_AG_6_2,HSR,AG,9,0.1,2,6,14,-9.18,18.34,82.42
NSA_0.1_AG_6_2,HSR,AG,11,0.1,2,6,14,-10.21,19.67,79.02
NSA_0.1_AG_6_2,HSR,AG,14,0.1,2,6,14,-7.84,17.59,78.34
NSA_0.1_AG_6_3,HSR,AG,1,0.1,3,6,14,-8.53,16.52,82.14
NSA_0.1_AG_6_3,HSR,AG,6,0.1,3,6,14,-4.13,10,67.16
NSA_0.1_AG_6_3,HSR,AG,9,0.1,3,6,14,-9.35,18.74,82.92
NSA_0.1_AG_6_3,HSR,AG,11,0.1,3,6,14,-10.15,19.77,79.36
NSA_0.1_AG_6_3,HSR,AG,14,0.1,3,6,14,-8.02,17.81,79.44
NSA_0.1_AG_7_1,HSR,AG,1,0.1,1,7,14,-4.44,8.48,81.11
NSA_0.1_AG_7_1,HSR,AG,6,0.1,1,7,14,-8.22,16.85,81.43
