Condition,Substrate,Group,Treatment_method ,Concentration,Treatment,Treat_No.,Cultivar,Samples,stem.volume,stem.nodes,length,bush,flowering.day,SPAD
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_AG,1,AG,4,4.33,7,49,3,59,108.4
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_AG,1,AG,5,4.03,7,61.5,4,57,96.6
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_AG,1,AG,6,3.67,8,50.5,4,68,91.4
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_AG,2,AG,1,3.99,8,57.5,4,65,93.9
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_AG,2,AG,2,3.64,7,55,5,65,91.4
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_AG,2,AG,3,3.55,7,45.5,5,65,96.8
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_AG,2,AG,4,3.8,8,59,5,59,91.7
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_AG,2,AG,5,2.72,8,50,4,65,66.5
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_AG,2,AG,6,4.08,7,54,3,59,85.1
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_AG,3,AG,1,3.02,8,56.5,5,65,61.8
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_AG,3,AG,2,3.24,7,50,4,65,91.1
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_AG,3,AG,3,3.04,7,49.5,4,59,89.9
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_AG,3,AG,4,4.57,8,47.5,6,59,105.1
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_AG,3,AG,5,3.43,8,55,4,75,80.4
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_AG,3,AG,6,3.21,7,55.5,5,75,98
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_AG,4,AG,1,4.34,8,54.5,5,65,68.9
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_AG,4,AG,2,3.02,7,43,4,59,23.5
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_AG,4,AG,3,3.63,8,53.5,4,59,66.5
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_AG,4,AG,4,4.44,8,52,6,76,121.1
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_AG,4,AG,5,3.32,8,45,6,59,97.6
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_AG,4,AG,6,3.94,6,55,4,65,89.4
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KP,1,CP,1,4.43,8,50.5,4,56,99.5
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KP,1,CP,2,4.96,8,47,4,59,89.6
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KP,1,CP,3,4.28,8,54.5,5,59,82.8
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KP,1,CP,4,4.57,7,49.5,5,59,82.6
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KP,1,CP,5,4.75,7,60.5,3,61,93.1
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KP,1,CP,6,3.74,8,65.5,3,59,72.6
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KP,2,CP,1,4.45,8,56,5,65,87.2
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KP,2,CP,2,4.25,7,65.6,3,64,90
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KP,2,CP,3,4.15,7,52,4,64,91.7
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KP,2,CP,4,4.92,7,50,4,65,99.8
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KP,2,CP,5,3.86,7,53.5,3,74,74.6
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KP,2,CP,6,4.07,6,40,4,75,75.1
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KP,4,CP,1,4.82,8,57.5,4,59,86
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KP,4,CP,2,5.52,8,64.8,5,59,90.9
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KP,4,CP,3,4.83,6,58.5,3,59,88.3
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KP,4,CP,4,4.37,8,54.5,4,59,83.4
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KP,4,CP,5,5.06,7,51.5,4,65,113.9
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KP,4,CP,6,1.93,NA,NA,NA,NA,NA
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KP,4,CP,1,4.96,7,52.5,6,76,70.2
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KP,4,CP,2,5.45,7,57.5,5,59,78.1
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KP,4,CP,3,4.34,7,50,5,59,87.6
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KP,4,CP,4,4.15,8,50.5,6,61,76.6
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KP,4,CP,5,4.99,7,60.5,4,62,76.4
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KP,4,CP,6,5.03,8,63,5,65,91.1
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_BP,1,BP,1,4.34,6,43,5,56,98.6
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_BP,1,BP,2,4.99,6,51,6,73,96.6
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_BP,1,BP,3,4.73,5,56,5,62,89.1
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_BP,1,BP,4,3.84,5,51.5,4,59,110.6
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_BP,1,BP,5,4.75,6,69,4,64,102.6
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_BP,1,BP,6,5.3,6,54.5,5,65,116.6
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_BP,2,BP,1,5.27,5,64.5,7,59,102.6
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_BP,2,BP,2,5.87,5,62,7,60,130.4
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_BP,2,BP,3,4.38,5,51,5,65,121.4
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_BP,2,BP,4,4.89,6,62.5,6,65,113.8
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_BP,2,BP,5,4.42,5,55,5,62,109
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_BP,2,BP,6,5.32,5,50.5,4,65,120.5
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_BP,3,BP,1,5.22,6,65.5,6,59,112.6
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_BP,3,BP,2,5.28,6,64.5,5,60,117.3
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_BP,3,BP,3,5,6,54.5,5,61,105.5
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_BP,3,BP,4,5.94,6,63,7,62,96.9
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_BP,3,BP,5,4.37,5,56.5,6,65,105.4
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_BP,3,BP,6,5.37,5,59.5,7,76,104.9
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_BP,4,BP,1,4.37,6,53.5,6,77,111.6
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_BP,4,BP,2,4.45,6,49,5,59,99.6
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_BP,4,BP,3,4.52,6,54.5,5,62,137.6
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_BP,4,BP,4,4.7,6,51.5,6,65,119
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_BP,4,BP,5,3.94,5,47,5,65,106.6
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_BP,4,BP,6,3.95,5,52.5,4,75,104
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KW,1,KW,1,4.08,8,66.5,3,64,99
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KW,1,KW,2,4.92,7,63.5,3,65,74.5
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KW,1,KW,3,3.86,7,56.7,3,65,90.8
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KW,1,KW,4,4.03,7,54.5,2,65,117.7
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KW,1,KW,5,4.63,7,63.5,4,63,134
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_KW,1,KW,6,4.89,7,61,4,60,125.1
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KW,2,KW,1,4.36,7,66.5,4,61,109.4
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KW,2,KW,2,4.23,7,67,6,65,128.7
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KW,2,KW,3,4.26,7,58.5,5,65,119.4
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KW,2,KW,4,4.29,7,64.5,4,60,125.5
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KW,2,KW,5,4.13,7,65.5,5,62,130.5
plant,soil,SSR,PSA2_0.1,0.1,PSA2_0.1_KW,2,KW,6,4.41,6,58.5,4,64,112.5
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KW,3,KW,1,4.5,7,63.5,4,65,133.8
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KW,3,KW,2,4.05,6,59.5,5,59,124.7
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KW,3,KW,3,4.88,7,60,5,59,130.6
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KW,3,KW,4,4.36,6,58,4,77,115.7
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KW,3,KW,5,5.2,6,49.5,4,62,89.4
plant,soil,SSR,PSA2_0.3,0.3,PSA2_0.3_KW,3,KW,6,4.04,6,50,5,65,115
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KW,4,KW,1,4.44,7,68,7,76,89.1
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KW,4,KW,2,4.09,6,52.5,4,62,67.2
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KW,4,KW,3,4.63,7,58,4,65,103.8
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KW,4,KW,4,5.04,7,66.5,5,65,98.6
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KW,4,KW,5,5.02,6,70,5,65,101.9
plant,soil,SSR,PSA2_0.5,0.5,PSA2_0.5_KW,4,KW,6,5,6,58,4,75,137.7
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_AG,1,AG,1,3.73,8,58.5,5,56,104.5
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_AG,1,AG,2,3.86,8,58,4,59,114
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_AG,1,AG,3,3.65,8,47,4,59,99.9
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_AG,1,AG,4,4.33,7,49,3,59,108.4
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_AG,1,AG,5,4.03,7,61.5,4,57,96.6
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_AG,1,AG,6,3.67,8,50.5,4,68,91.4
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_AG,2,AG,1,3.87,8,48,5,59,113.3
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_AG,2,AG,2,3.92,9,52,5,59,115.2
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_AG,2,AG,3,3.69,8,49.5,6,59,103.1
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_AG,2,AG,4,3.62,9,60,5,59,103.9
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_AG,2,AG,5,3.9,10,60,3,65,112.7
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_AG,2,AG,6,3.5,9,56.5,4,59,113.3
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_AG,3,AG,1,4.27,8,51.5,5,59,99.6
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_AG,3,AG,2,4.15,10,56.5,5,60,116.8
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_AG,3,AG,3,3.86,8,48.5,3,61,104.9
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_AG,3,AG,4,3.17,9,46.5,3,68,113.6
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_AG,3,AG,5,3.81,9,54.5,4,68,104.7
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_AG,3,AG,6,4.2,9,60,6,65,112.8
plant,soil,PSC1,PSC1_0.5,0.5,PSC1_0.5_AG,4,AG,1,3.3,8,50,5,65,84.4
plant,soil,PSC1,PSC1_0.5,0.5,PSC1_0.5_AG,4,AG,2,4.68,9,56,3,62,92.1
plant,soil,PSC1,PSC1_0.5,0.5,PSC1_0.5_AG,4,AG,3,3.14,7,54.5,3,64,65.5
plant,soil,PSC1,PSC1_0.5,0.5,PSC1_0.5_AG,4,AG,4,4.25,10,53.5,4,65,110
plant,soil,PSC1,PSC1_0.5,0.5,PSC1_0.5_AG,4,AG,5,3.91,9,53,4,68,96.9
plant,soil,PSC1,PSC1_0.5,0.5,PSC1_0.5_AG,4,AG,6,3.72,8,50.5,4,73,93.2
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_KP,1,CP,1,4.43,8,50.5,4,56,99.5
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_KP,1,CP,2,4.96,8,47,4,59,89.6
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_KP,1,CP,3,4.28,8,54.5,5,59,82.8
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_KP,1,CP,4,4.57,7,49.5,5,59,82.6
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_KP,1,CP,5,4.75,7,60.5,3,61,93.1
plant,soil,PSC1,PSC1_0.0,0,PSC1_0.0_KP,1,CP,6,3.74,8,65.5,3,59,72.6
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_KP,2,CP,1,3.21,7,54,3,56,79.7
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_KP,2,CP,2,3.15,7,46.5,4,56,54.1
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_KP,2,CP,3,4.13,7,57.5,3,59,83.2
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_KP,2,CP,4,4.37,8,60.5,5,59,96.1
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_KP,2,CP,5,5,8,52.5,4,59,88.9
plant,soil,PSC1,PSC1_0.1,0.1,PSC1_0.1_KP,2,CP,6,4.63,8,54.5,3,61,76.4
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_KP,3,CP,1,5.02,9,47.5,5,62,78.9
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_KP,3,CP,2,4.35,8,47,4,59,103.4
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_KP,3,CP,3,4.26,8,61,4,59,90.9
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_KP,3,CP,4,3.91,9,56.5,5,59,97
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_KP,3,CP,5,4.02,9,61,5,64,75.2
plant,soil,PSC1,PSC1_0.3,0.3,PSC1_0.3_KP,3,CP,6,5.49,8,49.5,4,59,76.8
plant,soil,PSC1,PSC1_0.5,0.5,PSC1_0.5_KP,4,CP,1,5.06,9,53,5,59,85.6
