Cultivar,SPAD_1,SPAD_6,SPAD_9,SPAD_11,SPAD_14,Vase_life
CP,76.4,60.5,46.6,41,36.3,12
CP,72.5,61.5,43.6,38.2,35.5,12
CP,62.9,51.1,41.9,37.7,34.1,12
CP,50.3,35.4,23.9,31.2,29.7,9
CP,48.3,35.8,23.7,31.4,31.3,9
CP,43.3,32.8,21.9,32.1,28.8,9
CP,49.1,40.8,29.8,24.1,23.6,12
CP,47.3,46.6,30.3,22.1,18.8,12
CP,53.6,39.2,27.5,20.6,16.6,12
CP,34.4,17.9,24.9,17.4,10.8,10
CP,35.6,18.5,22.1,19.5,14,10
CP,33,18,23.1,16.5,15,10
CP,51.4,30.5,35.5,27.2,19.8,9
CP,45.6,29.8,39.1,21.2,21.6,9
CP,46.5,27.1,34.2,20.7,19.8,9
CP,54.3,49.8,25.3,31,18.1,11
CP,55.3,47.3,23.6,28.9,19.7,11
CP,51.3,45.9,22.8,29.5,18.7,11
CP,63.5,41.5,42.4,38.4,31.2,8
CP,59.4,46.4,36.2,36.1,28.2,8
CP,58.4,42.1,35.4,35.1,29.9,8
CP,59.5,45.4,25.5,36.8,36.8,8
CP,59.1,47.2,26.6,36.6,31.4,8
CP,53.6,42.5,26.1,36.1,34,8
CP,65.9,"47,7",36.7,27.4,24.9,10
CP,66.9,46.5,33.6,29.4,29.9,10
CP,66.3,47.1,34,26,24.9,10
CP,56.4,40.4,65.2,51.8,50.7,8
CP,55.9,42.1,58.5,43.4,42.1,8
CP,51.8,41.4,57.2,46.9,45.3,8
CP,52.3,35.4,24.1,24.3,23.5,8
CP,52.4,29.2,23.9,22.5,22.9,8
CP,51.8,30.5,23.4,22.8,21.9,8
CP,12.8,11.1,25.8,10.7,10.7,11
CP,12.2,11.7,25.6,10.6,10.4,11
CP,12.4,12.5,24.9,10.1,10.5,11
CP,34.9,28.9,34,20.1,16.1,10
CP,31.4,24.3,33,17.9,17.1,10
CP,29.3,24.9,33.9,17.9,18.5,10
CP,64.2,38.5,24.3,24,24.4,9
CP,54.6,41.1,21.9,21.3,21.2,9
CP,55.2,37.6,29.5,28.5,20.7,9
CP,24.2,33.2,10.8,20.5,14.6,13
CP,26.5,33.1,10.9,16.8,13.2,13
CP,28,30.8,11,20.7,11.4,13
CP,36.9,27.7,43.1,16.7,16.1,9
CP,35.4,26.1,39.4,18,18.4,9
CP,35.9,25.7,38.4,19.3,20,9
CP,34.9,31.8,25.1,27.4,25.9,10
CP,34.7,36.5,26.1,24.1,19.8,10
CP,33.7,29.6,24.5,24,19.9,10
CP,23.8,16.6,19.9,18.8,13.2,10
CP,22.6,17.6,20,18.4,12.8,10
CP,20.3,17,20,15,12.2,10
CP,55,44.2,32.7,23.2,20,12
CP,53.6,45.2,32.9,23.5,19.7,12
CP,52.1,38.9,33.1,22.1,19.3,12
CP,33,24.4,19.4,19.4,17.2,12
CP,31.6,23.7,19.5,16.5,15.6,12
CP,30.9,23.3,19.4,15.7,15.2,12
CP,54.1,27.9,25.5,27.7,25.6,10
CP,51.2,27.5,25.4,25.3,26.6,10
CP,54.6,30.5,25.1,26.6,22.6,10
CP,15.1,15.1,14.8,11.4,12.2,10
CP,15.2,15.5,14.3,12.2,10.6,10
CP,16.2,15.9,13.2,11.5,10.9,10
BP,35.6,38.6,37.9,21.6,17.8,14
BP,35.4,38.9,38.5,20.9,19.6,14
BP,34.8,43.1,39.4,19.7,19,14
BP,71.4,79.1,73.8,41.5,53.4,11
BP,71.8,76.1,76.5,52.1,50.2,11
BP,64.8,76.6,73.4,49.2,49.8,11
BP,96.9,94.3,78.3,78.8,61.2,9
BP,92.4,99.9,74.9,71.1,58.4,9
BP,85.9,92.4,80.1,70.4,52.4,9
BP,30.4,50.2,42.5,44.9,37.8,14
BP,30.2,62.9,55.1,53.1,36.3,14
BP,28.4,53.8,43.2,55.7,39.6,14
BP,52.1,60.2,23.8,34.7,26.3,13
BP,55.8,52.1,22.4,35.1,24.3,13
BP,42.7,50.9,24.1,34.8,24.2,13
BP,59.4,62.5,80.4,52.2,46.3,14
BP,52.1,78.4,80.5,53.1,44.2,14
BP,50.4,63.4,81.3,47.9,41.7,14
BP,21.2,56.3,22.2,24.1,26.8,12
BP,22.4,52.1,29.4,22.5,24.4,12
BP,22.5,50.9,27.5,23.1,23.6,12
BP,36,34.2,39.4,32.3,31.9,13
BP,33.7,34.6,40.2,30.1,31.4,13
BP,36.2,31,39.9,31.2,31.1,13
BP,40.1,26.7,30.4,23.4,34.4,15
BP,40.9,26.3,29.4,23.6,33.9,15
BP,35.7,27.1,31,24.1,32.8,15
BP,45.6,58.4,49.7,48.7,33.7,12
BP,50.9,56.6,51,49.6,30.1,12
BP,57.1,58.9,50.4,53.2,25.6,12
BP,30.9,48.3,47.8,40.4,40.1,10
BP,31.4,43.3,48.5,39.5,39.4,10
BP,33.4,41.6,42.9,45.5,38.7,10
BP,52.3,53.2,60.6,45.6,34.7,14
BP,58.2,47.9,67.7,45.5,33.7,14
BP,49.5,48.1,56.6,45.4,33.2,14
BP,61.4,63.1,59,46.2,35.4,13
BP,60.5,65.1,54,44.5,35.7,13
BP,55.7,61.1,54.3,47.1,34.7,13
BP,26.3,90.2,75.3,66.8,49.9,13
BP,60.4,72.3,65.8,66.9,49,13
BP,54,82.2,67.9,67.1,48.7,13
BP,73.9,90.2,63.8,65.7,55.8,16
BP,66.4,82.6,62.8,66.3,55.4,16
BP,64.8,81.9,65.7,63,55,16
BP,65.4,65.5,79.6,42.5,42.2,13
BP,71.4,65.7,74.7,44.5,40.1,13
BP,76.5,58.2,78.2,42,37.4,13
BP,69.6,58.8,45.1,45.1,38.7,14
BP,66.6,54.4,52.4,46.2,36.8,14
BP,59.2,52.1,49.2,44.9,36.5,14
BP,72.2,71.6,64,56.2,57.4,16
BP,70.4,71.4,62,55.2,54.6,16
BP,71.8,71.2,56.4,51.9,53.9,16
BP,70.1,74.6,72.5,63.9,57.1,12
BP,77.2,78.7,74.5,60.1,56.1,12
BP,62,77.8,69.7,60.9,56.7,12
BP,79.2,67.4,73.2,61.8,50.1,11
BP,92.4,57.9,71.2,61.9,49.2,11
BP,91.1,64,69,60.4,49.9,11
BP,60.8,85.1,78.4,42.1,61.4,13
BP,71.2,80.1,73,39.4,54.3,13
BP,66,72.8,65.5,37,53.8,13
BP,51.6,51.9,53.8,48.9,33.7,14
BP,55.7,40.9,46.4,49.1,34.9,14
BP,60.8,38.9,49.2,47.4,34.2,14
BP,59.4,60.8,86.4,51.2,40.1,14
