condition,substrate,group,treatment method ,treatment,treat No.,cultivar,number,samples,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,1,83.28,-4.28,8.46,71.88,-3.64,11.18,84.6,-8.16,15.52,84.91,-10.87,20.71,85.94,-9.32,18.58
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,1,83.29,-4.3,8.52,71.27,-3.8,10.49,84.73,-8.14,15.6,84.87,-10.88,20.83,85.96,-9.35,18.63
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,2,86.02,-3.9,7.67,84.42,-7.02,14.06,70.97,-6.1,13.06,84.7,-11.4,22.46,86.22,-5.36,12.63
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,2,87.84,-4.74,9.51,85.18,-7.23,14.57,75.84,-7.45,15.41,85.4,-11.8,23.25,87.04,-5.47,12.93
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,2,88.2,-5.14,10.15,85.38,-7.22,14.65,78.02,-8.62,17.25,85.61,-11.7,23.27,87.25,-5.64,13.08
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,3,80.9,-10.73,19.95,88.23,-6.91,15.45,83.9,-10.94,21.41,84.29,-10.13,19.68,85.72,-5.76,13.98
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,3,81.51,-10.42,19.54,88.33,-6.96,15.62,83.91,-10.97,21.45,84.62,-10.35,20.07,85.91,-5.76,14
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,3,83.11,-10.17,19.5,88.41,-7.16,15.96,83.89,-11,21.58,84.96,-10.49,20.38,86.7,-5.97,14.31
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,4,86.6,-6.39,12.31,74.43,-2.79,8.03,77.61,-8.69,17.9,77.69,-7.2,13.84,84.47,-5.21,11.74
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,4,86.64,-6.07,11.79,74.47,-2.74,8.13,77.75,-8.85,18.22,76.44,-6.94,13.39,86.3,-5.96,13.01
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,4,86.42,-6.11,11.6,75.15,-2.69,7.98,78.64,-9.08,18.61,79.31,-7.69,14.42,86.78,-6.12,13.33
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,5,85.52,-8.33,16.58,81.17,-5.53,12.51,72.8,-9.92,19.35,83.31,-9.63,19.17,84.78,-7.59,16.63
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,5,86.23,-8.26,16.66,80.31,-5.33,12.08,83.04,-10.09,19.66,83.15,-9.71,19.36,85.25,-7.8,17.12
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,5,86.62,-8.25,16.54,81.91,-5.53,12.25,83.32,-10.2,19.83,83.31,-9.9,19.63,85.76,-7.97,17.54
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,6,82.64,-8.77,17.04,64.33,-3.11,8.57,82.4,-9.16,18.32,76.33,-9.43,18.52,73.35,-6.56,15.28
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,6,82.57,-8.69,16.81,66.03,-3.52,8.95,82.42,-9.18,18.34,79.02,-10.21,19.67,78.34,-7.84,17.59
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,6,82.14,-8.53,16.52,67.16,-4.13,10,82.92,-9.35,18.74,79.36,-10.15,19.77,79.44,-8.02,17.81
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,7,81.11,-4.44,8.48,81.43,-8.22,16.85,81.37,-11.33,22.75,85.01,-9.15,18.27,83.13,-8.54,16.59
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,7,79.72,-4.12,7.87,81.44,-8.22,16.89,82.41,-11.83,23.29,83.98,-8.87,17.61,83.24,-8.48,16.71
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,7,80.49,-4.27,8.1,81.43,-8.38,16.95,82.21,-11.7,23.21,83.9,-8.7,17.32,83.37,-8.47,16.86
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,8,79.29,-11.93,22.58,80.74,-8.9,17.9,83.2,-11.09,21.9,82.13,-11.83,22.74,81.6,-10.8,21.93
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,8,82.8,-12.31,22.65,80.98,-8.99,18.05,83.1,-11.07,21.8,81.86,-11.77,22.53,81.3,-10.53,21.65
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,8,82.93,-12.29,22.88,81.4,-9.19,18.37,83.03,-11.17,21.78,82.01,-11.76,22.62,81.79,-10.73,21.91
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,9,75.49,-4.68,10.02,83.1,-9.96,19.84,86.28,-5.57,12.16,85.65,-9.26,20,80.54,-4.28,21.22
